reward_pointer,reward_position,surprise_pointer,surprise_position,steps_after_reward,anchor_pointer,anchor_position,hash_key,env,score_context_start,score,abs_td_error,value_previous,value,value_next,value_diff,z_td,z_value_signal,reward_at_surprise
49184,49184,49185,49185,1,49183,49183,409,0,49123,0.054390303790569305,0.07138542830944061,0.19979584217071533,0.12252151966094971,0.05191481113433838,-0.07727432250976562,0.1397535651922226,-0.7427979707717896,0.0
47856,47856,47856,47856,0,47854,47854,665,0,47794,0.04566896706819534,0.9028717875480652,0.5616812705993652,0.04616343975067139,-0.05174088478088379,-0.5155178308486938,6.6132097244262695,-4.971950531005859,1.0
43285,43285,43285,43285,0,43283,43283,796,0,43223,0.0427941232919693,0.7870038747787476,0.7608826160430908,0.25385451316833496,0.04148054122924805,-0.5070281028747559,5.7111310958862305,-4.8900227546691895,1.0
29757,29757,29757,29757,0,29755,29755,573,0,29695,0.03817930817604065,0.9632487297058105,0.5504390001296997,0.009165287017822266,-0.02800607681274414,-0.5412737131118774,7.083268642425537,-5.220500946044922,1.0
9053,9053,9054,9054,1,9052,9052,967,0,8992,0.032902784645557404,0.06461529433727264,0.31542539596557617,0.23451077938079834,0.17248272895812988,-0.08091461658477783,0.0870453417301178,-0.7779276967048645,0.0
34995,34995,34996,34996,1,34994,34994,411,0,34934,0.032901667058467865,0.06268838047981262,0.13975739479064941,0.08280086517333984,0.020418763160705566,-0.05695652961730957,0.07204354554414749,-0.5467265248298645,0.0
34558,34558,34558,34558,0,34556,34556,538,0,34496,0.032655782997608185,0.29691314697265625,1.1283774375915527,0.7081235647201538,0.005113363265991211,-0.4202538728713989,1.8955776691436768,-4.05263090133667,1.0
38917,38917,38920,38920,3,38918,38918,61,0,38858,0.02924519218504429,0.05884847044944763,0.29262208938598633,0.2924683094024658,0.23717749118804932,-0.0001537799835205078,0.042148299515247345,0.0014333256985992193,0.0
44140,44140,44140,44140,0,44138,44138,484,0,44078,0.02820713445544243,1.0148309469223022,0.7295440435409546,0.15110266208648682,0.16846048831939697,-0.5784413814544678,7.484856605529785,-5.579177379608154,1.0
47602,47602,47605,47605,3,47603,47603,782,0,47543,0.027904123067855835,0.05827643722295761,0.07318460941314697,0.08242762088775635,0.024518966674804688,0.009243011474609375,0.037694789469242096,0.09211456030607224,0.0
40114,40114,40114,40114,0,40112,40112,651,0,40052,0.024145076051354408,0.7630695104598999,0.9009406566619873,0.33788156509399414,0.10248839855194092,-0.5630590915679932,5.524792671203613,-5.430734634399414,1.0
50869,50869,50872,50872,3,50870,50870,573,0,50810,0.024134980514645576,0.07824073731899261,0.32235515117645264,0.1130901575088501,0.03538012504577637,-0.20926499366760254,0.1931249052286148,-2.0165388584136963,0.0
50869,50869,50871,50871,2,50869,50869,573,0,50809,0.023644352331757545,0.16163307428359985,0.5054877996444702,0.1363835334777832,-0.025634050369262695,-0.369104266166687,0.8423678278923035,-3.559025287628174,0.0
11773,11773,11773,11773,0,11771,11771,111,0,11711,0.02363145910203457,0.3003276586532593,1.3323447704315186,0.8768749237060547,0.179901123046875,-0.45546984672546387,1.9221609830856323,-4.392473220825195,1.0
23978,23978,23978,23978,0,23976,23976,52,0,23916,0.02302083931863308,0.8163458108901978,0.9328645467758179,0.35733747482299805,0.17632818222045898,-0.5755270719528198,5.93956995010376,-5.551053524017334,1.0
20784,20784,20785,20785,1,20783,20783,349,0,20723,0.02222931757569313,0.062001973390579224,0.2530621290206909,0.1566455364227295,0.0960848331451416,-0.09641659259796143,0.06669958680868149,-0.9275254011154175,0.0
34995,34995,34995,34995,0,34993,34993,923,0,34933,0.02143239416182041,0.893069863319397,0.7524144649505615,0.15951776504516602,0.05338847637176514,-0.5928966999053955,6.536897659301758,-5.718674659729004,1.0
39249,39249,39249,39249,0,39247,39247,795,0,39187,0.02125810645520687,0.9562586545944214,0.672105073928833,0.07083010673522949,0.027501225471496582,-0.6012749671936035,7.028847694396973,-5.799527168273926,1.0
16171,16171,16171,16171,0,16169,16169,214,0,16109,0.02096950262784958,0.8539663553237915,0.8415771722793579,0.2513643503189087,0.10693466663360596,-0.5902128219604492,6.232460975646973,-5.692774772644043,1.0
31349,31349,31350,31350,1,31348,31348,931,0,31288,0.01829129084944725,0.07294067740440369,0.289652943611145,0.07632803916931152,0.0034389495849609375,-0.2133249044418335,0.15186180174350739,-2.055717945098877,0.0
3457,3457,3457,3457,0,3455,3455,971,0,3395,0.016854703426361084,0.27072978019714355,1.2911319732666016,0.8137540817260742,0.0857703685760498,-0.47737789154052734,1.6917296648025513,-4.603891372680664,1.0
43872,43872,43872,43872,0,43870,43870,200,0,43810,0.016526272520422935,0.40048396587371826,1.266359567642212,0.7382248640060425,0.14082109928131104,-0.5281347036361694,2.701918363571167,-5.093706130981445,1.0
38996,38996,38996,38996,0,38994,38994,317,0,38934,0.015980463474988937,0.47338032722473145,1.2491884231567383,0.6977529525756836,0.17373943328857422,-0.5514354705810547,3.2694458961486816,-5.318563938140869,1.0
47231,47231,47232,47232,1,47230,47230,61,0,47170,0.01268847193568945,0.06552931666374207,0.26577651500701904,0.06483829021453857,-0.0007015466690063477,-0.20093822479248047,0.09416137635707855,-1.9361835718154907,0.0
2017,2017,2017,2017,0,2015,2015,455,0,1955,0.012086193077266216,0.479703426361084,1.2524168491363525,0.670425534248352,0.15241515636444092,-0.5819913148880005,3.318673610687256,-5.6134352684021,1.0
50790,50790,50791,50791,1,50789,50789,820,0,50729,0.011414793320000172,0.11004149913787842,0.7609293460845947,0.38338327407836914,0.2775043249130249,-0.3775460720062256,0.44070664048194885,-3.640490770339966,0.0
