reward_pointer,reward_position,surprise_pointer,surprise_position,steps_after_reward,anchor_pointer,anchor_position,hash_key,env,score_context_start,score,abs_td_error,value_previous,value,value_next,value_diff,z_td,z_value_signal,reward_at_surprise,trigger_window_max_score,trigger_window_max_pointer,trigger_is_window_max,trigger_threshold,trigger_passed
49184,49184,49185,49185,1,49183,49183,175,0,49123,0.169452965259552,0.10435222089290619,0.21953415870666504,0.1540989875793457,0.050504326820373535,-0.06543517112731934,0.39641332626342773,-0.6285474300384521,0.0,36.489131927490234,49182,False,3.5,False
42188,42188,42188,42188,0,42186,42186,606,0,42126,0.1656644493341446,0.9187027215957642,0.5144736766815186,0.1314859390258789,0.050952911376953125,-0.38298773765563965,6.736459732055664,-3.6930041313171387,1.0,4.967763423919678,42187,False,3.5,False
47153,47153,47153,47153,0,47151,47151,469,0,47091,0.16347651183605194,0.9670215845108032,0.4341362714767456,0.04405629634857178,0.011246562004089355,-0.39007997512817383,7.11264181137085,-3.7614457607269287,1.0,2.547025203704834,47152,False,3.5,False
48635,48635,48636,48636,1,48634,48634,591,0,48574,0.15573611855506897,0.10314483940601349,0.23249363899230957,0.15941011905670166,0.057122111320495605,-0.07308351993560791,0.38701337575912476,-0.7023557424545288,0.0,5.490147590637207,48633,False,3.5,False
48556,48556,48556,48556,0,48554,48554,468,0,48494,0.1553294062614441,0.9555590152740479,0.47517967224121094,0.08106553554534912,0.03718233108520508,-0.3941141366958618,7.023400783538818,-3.8003764152526855,1.0,3.8808107376098633,48555,False,3.5,False
49354,49354,49355,49355,1,49353,49353,118,0,49293,0.14982712268829346,0.08527687937021255,0.1401653289794922,0.12056827545166016,0.03582882881164551,-0.01959705352783203,0.24790410697460175,-0.18619883060455322,0.0,3.765003204345703,49354,False,3.5,False
41918,41918,41918,41918,0,41916,41916,468,0,41856,0.14134488999843597,0.8902089595794678,0.5483790636062622,0.1522589921951294,0.043114662170410156,-0.3961200714111328,6.51462459564209,-3.8197340965270996,1.0,2.7564876079559326,41913,False,3.5,False
42301,42301,42303,42303,2,42301,42301,239,0,42241,0.14074552059173584,0.07811269164085388,0.2728574275970459,0.2805687189102173,0.20553910732269287,0.007711291313171387,0.1921280175447464,0.07733310759067535,0.0,14.388476371765137,42253,False,3.5,False
14582,14582,14585,14585,3,14583,14583,86,0,14523,0.1393047571182251,0.07019365578889847,0.08413815498352051,0.15081572532653809,0.08184981346130371,0.06667757034301758,0.13047513365745544,0.6463715434074402,0.0,6.4509663581848145,14572,False,3.5,False
43285,43285,43287,43287,2,43285,43285,118,0,43225,0.12951907515525818,0.06818649172782898,0.0378495454788208,0.1138690710067749,0.046378254890441895,0.0760195255279541,0.1148485541343689,0.7365235686302185,0.0,22.71245765686035,43236,False,3.5,False
36642,36642,36642,36642,0,36640,36640,262,0,36580,0.1255943775177002,0.8987340927124023,0.7390859127044678,0.32953691482543945,0.23174715042114258,-0.4095489978790283,6.580996036529541,-3.949326515197754,1.0,10.464034080505371,36639,False,3.5,False
14012,14012,14013,14013,1,14011,14011,604,0,13951,0.1206938624382019,0.08714932948350906,0.18041229248046875,0.1243370771408081,0.037754058837890625,-0.056075215339660645,0.2624818980693817,-0.5382216572761536,0.0,3.9302093982696533,14011,False,3.5,False
47231,47231,47231,47231,0,47229,47229,966,0,47169,0.11831130087375641,0.567054033279419,0.8333605527877808,0.4697941541671753,0.037409305572509766,-0.36356639862060547,3.9987330436706543,-3.5055835247039795,1.0,7.489595413208008,47228,False,3.5,False
34006,34006,34007,34007,1,34005,34005,409,0,33945,0.11598173528909683,0.07648733258247375,0.18370485305786133,0.17343997955322266,0.09842908382415771,-0.010264873504638672,0.17947395145893097,-0.09614109992980957,0.0,7.484563827514648,34004,False,3.5,False
39577,39577,39577,39577,0,39575,39575,214,0,39515,0.11483974009752274,0.7257940769195557,0.8301703929901123,0.43521273136138916,0.1634587049484253,-0.39495766162872314,5.234588146209717,-3.808516502380371,1.0,14.49340534210205,39530,False,3.5,False
