Game,Config,Reference,Common Seeds,Seed IDs,Reference Paired Mean,Config Paired Mean,Delta (Config - Reference)
Krull,target: 16 (anchor 미설정),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,5588.5,141.0
Krull,target: 16 (anchor: 0.4),Retrieval 미사용,2,"2000, 2010",5311.0,4780.5,-530.5
Krull,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,4780.5,-667.0
Qbert,target: 4 (anchor 미설정),Retrieval 미사용,4,"1, 10, 3710, 6000",2785.0,3114.6875,329.6875
Qbert,target: 4 (anchor 미설정),target: 1 (anchor 미설정),4,"1, 10, 3710, 6000",2768.4375,3114.6875,346.25
Qbert,target: 8 (anchor: 0.3),Retrieval 미사용,4,"1, 10, 3710, 6000",2785.0,2765.9375,-19.0625
Qbert,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),4,"1, 10, 3710, 6000",2768.4375,2765.9375,-2.5
Qbert,target: 12 (anchor: 0.12),Retrieval 미사용,4,"1, 10, 3710, 6000",2785.0,3089.0625,304.0625
Qbert,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),4,"1, 10, 3710, 6000",2768.4375,3089.0625,320.625
Qbert,target: 12 (anchor: 0.2),Retrieval 미사용,4,"1, 10, 3710, 6000",2785.0,2769.0625,-15.9375
Qbert,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),4,"1, 10, 3710, 6000",2768.4375,2769.0625,0.625
Qbert,target: 16 (anchor 미설정),Retrieval 미사용,4,"1, 10, 3710, 6000",2785.0,1854.0625,-930.9375
Qbert,target: 16 (anchor 미설정),target: 1 (anchor 미설정),4,"1, 10, 3710, 6000",2768.4375,1854.0625,-914.375
Qbert,target: 16 (anchor: 0.4),Retrieval 미사용,4,"1, 10, 3710, 6000",2785.0,2619.6875,-165.3125
Qbert,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),4,"1, 10, 3710, 6000",2768.4375,2619.6875,-148.75
UpNDown,target: 4 (anchor 미설정),Retrieval 미사용,3,"6000, 6010, 6020",4853.833333333333,5119.5,265.666666666667
UpNDown,target: 4 (anchor 미설정),target: 1 (anchor 미설정),3,"6000, 6010, 6020",5304.666666666667,5119.5,-185.166666666667
UpNDown,target: 8 (anchor: 0.3),Retrieval 미사용,3,"6000, 6010, 6020",4853.833333333333,4712.166666666667,-141.6666666666661
UpNDown,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),3,"6000, 6010, 6020",5304.666666666667,4712.166666666667,-592.5
UpNDown,target: 12 (anchor: 0.12),Retrieval 미사용,3,"6000, 6010, 6020",4853.833333333333,5391.5,537.666666666667
UpNDown,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),3,"6000, 6010, 6020",5304.666666666667,5391.5,86.83333333333303
UpNDown,target: 12 (anchor: 0.2),Retrieval 미사용,3,"6000, 6010, 6020",4853.833333333333,4772.333333333333,-81.5
UpNDown,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),3,"6000, 6010, 6020",5304.666666666667,4772.333333333333,-532.3333333333339
UpNDown,target: 16 (anchor 미설정),Retrieval 미사용,3,"6000, 6010, 6020",4853.833333333333,5225.166666666667,371.3333333333339
UpNDown,target: 16 (anchor 미설정),target: 1 (anchor 미설정),3,"6000, 6010, 6020",5304.666666666667,5225.166666666667,-79.5
UpNDown,target: 16 (anchor: 0.4),Retrieval 미사용,3,"6000, 6010, 6020",4853.833333333333,5022.333333333333,168.5
UpNDown,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),3,"6000, 6010, 6020",5304.666666666667,5022.333333333333,-282.3333333333339
