panel,config,reference,sampling,games,seed_cells,min_n,max_n,wins,losses,game_sign_p,metric,reference_value,config_value,delta,improvement_pct,ci_low,ci_high,included_games
baseline_all_available,target: 16 (anchor 미설정),Retrieval 미사용,paired,20,59,1,6,14,6,0.11531829833984375,IQM_game_workbook,0.42987781729167046,0.4519993211327601,0.02212150384108963,5.145997990884994,0.007061309785660507,0.03535416229463503,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor 미설정),Retrieval 미사용,paired,20,59,1,6,14,6,0.11531829833984375,Gap_game_workbook,0.5152312660731506,0.5086805903410716,-0.006550675732079014,1.2714049327800254,-0.014139107641249173,0.004654387608398539,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor 미설정),Retrieval 미사용,paired,20,59,1,6,14,6,0.11531829833984375,IQM_run_equal_game,0.43442219328521425,0.4519505361494882,0.01752834286427396,4.034863580914236,0.004819531755095412,0.03424861544449085,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor 미설정),Retrieval 미사용,paired,20,59,1,6,14,6,0.11531829833984375,Gap_run_equal_game,0.5152312660731506,0.5114514353525941,-0.003779830720556543,0.7336182738607127,-0.012769098775292864,0.005179016955487514,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,27,2,5,3,5,0.7265625,Mean,0.7748268151792614,0.6938964782808522,-0.08093033689840923,-10.444958191035948,-0.17047041383872164,0.008128389565861024,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,27,2,5,3,5,0.7265625,Median,0.3094279931094581,0.30922491712095,-0.0002030759885081057,-0.06562948182786711,-0.050266349528859715,0.05014717722145068,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,27,2,5,3,5,0.7265625,IQM_game_workbook,0.3044842238968078,0.30841106547183617,0.0039268415750283725,1.2896699621321634,-0.03427949166603373,0.04269520502040155,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,27,2,5,3,5,0.7265625,Gap_game_workbook,0.5665795996137789,0.5663614377570656,-0.0002181618567133059,0.03850506740130082,-0.02469182254644884,0.01947042287795198,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,27,2,5,3,5,0.7265625,IQM_run_equal_game,0.31715315313166836,0.3199326563428948,0.0027795032112264417,0.8763914795677631,-0.03396925599249333,0.03889445593654197,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,27,2,5,3,5,0.7265625,Gap_run_equal_game,0.5812062354875278,0.5771329446854722,-0.004073290802055651,0.7008339816999538,-0.02604099149977368,0.01733633467287132,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),paired,8,27,2,5,3,5,0.7265625,Mean,0.7911103322245278,0.6938964782808522,-0.09721385394367554,-12.288280153075405,-0.1691230194980037,-0.025361508416118818,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
